ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
spanish,Spanish,stan1288,Spanish,spa,Eurasia,40.4414,-1.11788,Indo-European
czech,Czech,czec1258,Czech,ces,Eurasia,49.873398,15.10437,Indo-European
hindi,Hindi,hind1269,Hindi,hin,Eurasia,25.0,77.0,Indo-European
german,German,stan1295,German,deu,Eurasia,48.649,12.4676,Indo-European
dutch,Dutch,dutc1256,Dutch,nld,Eurasia,52.0,5.0,Indo-European
portuguese,Portuguese,port1283,Portuguese,por,Eurasia,39.91,-8.1,Indo-European
greek,Greek,mode1248,Modern Greek,ell,Eurasia,38.36,23.13,Indo-European
russian,Russian,russ1263,Russian,rus,Eurasia,59.0,50.0,Indo-European
french,French,stan1290,French,fra,Eurasia,48.0,2.0,Indo-European
polish,Polish,poli1260,Polish,pol,Eurasia,51.8439,18.6255,Indo-European
romanian,Romanian,roma1327,Romanian,ron,Eurasia,46.3913,24.2256,Indo-European
bulgarian,Bulgarian,bulg1262,Bulgarian,bul,Eurasia,43.3646,25.047,Indo-European
danish,Danish,dani1285,Danish,dan,Eurasia,54.8655,9.36284,Indo-European
norwegian,Norwegian,norw1258,Norwegian,nor,Eurasia,59.92,10.71,Indo-European
italian,Italian,ital1282,Italian,ita,Eurasia,43.0464,12.6489,Indo-European
english,English,stan1293,English,eng,Eurasia,53.0,-1.0,Indo-European
armenian,Armenian,nucl1235,Eastern Armenian,hye,Eurasia,40.0,45.0,Indo-European
icelandic,Icelandic,icel1247,Icelandic,isl,Eurasia,63.4837,-19.0212,Indo-European
swedish,Swedish,swed1254,Swedish,swe,Eurasia,59.800634,17.389526,Indo-European
